Процессы (в консоль ограничено, в файл пишется полный список):
PID      Name                         Prio       StartTime           State      CPU(s)   RAM(MB)   
1656     (sd-pam)                     Normal     2025-12-19 14:41:20 Running/R… 0,00     3         
2201     agent                        Normal     2025-12-19 14:41:24 Running/R… 0,01     7         
898      AmneziaVPN-service           Normal     2025-12-19 14:41:15 Running/R… 0,05     9         
883      AmneziaVPN-service.sh        Normal     2025-12-19 14:41:15 Running/R… 0,00     3         
86500    appimagelauncherd            Normal     2025-12-19 17:17:31 Running/R… 0,03     28        
2229     at-spi-bus-launcher          Normal     2025-12-19 14:41:24 Running/R… 0,02     7         
2322     at-spi2-registryd            Normal     2025-12-19 14:41:24 Running/R… 0,02     6         
2083     bash                         Normal     2025-12-19 14:41:24 Running/R… 0,01     3         
2141     bash                         Normal     2025-12-19 14:41:24 Running/R… 5,11     4         
2109     blueman-applet               Normal     2025-12-19 14:41:24 Running/R… 0,80     51        
2696     blueman-tray                 Normal     2025-12-19 14:41:25 Running/R… 7,89     30        
848      bluetoothd                   Normal     2025-12-19 14:41:15 Running/R… 0,05     5         
2602     bwrap                        Normal     2025-12-19 14:41:25 Running/R… 0,00     1         
2606     bwrap                        Normal     2025-12-19 14:41:25 Running/R… 0,00     1         
2891     bwrap                        Normal     2025-12-19 14:41:25 Running/R… 0,00     1         
2913     bwrap                        Normal     2025-12-19 14:41:25 Running/R… 0,00     1         
318      card1-crtc0                  Normal     2025-12-19 14:41:12 Running/R… 0,00     0         
319      card1-crtc1                  Normal     2025-12-19 14:41:12 Running/R… 0,00     0         
320      card1-crtc2                  Normal     2025-12-19 14:41:12 Running/R… 0,00     0         
321      card1-crtc3                  Normal     2025-12-19 14:41:12 Running/R… 0,00     0         
76252    chrome_crashpad_handler      AboveNormal 2025-12-19 16:46:35 Running/R… 0,00     3         
25       cpuhp/0                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
68       cpuhp/1                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
50       cpuhp/10                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
98       cpuhp/11                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
56       cpuhp/12                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
104      cpuhp/13                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
62       cpuhp/14                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
110      cpuhp/15                     Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
26       cpuhp/2                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
74       cpuhp/3                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
32       cpuhp/4                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
80       cpuhp/5                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
38       cpuhp/6                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
86       cpuhp/7                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
44       cpuhp/8                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
92       cpuhp/9                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
8635     crashhelper                  AboveNormal 2025-12-19 14:42:25 Running/R… 0,01     2         
845      dbus-broker                  Normal     2025-12-19 14:41:15 Running/R… 0,81     4         
1665     dbus-broker                  Normal     2025-12-19 14:41:21 Running/R… 0,95     3         
2248     dbus-broker                  Normal     2025-12-19 14:41:24 Running/R… 0,02     2         
